isbn,title,author,category,imagelink
,"Chesapeake Blue","Nora Roberts",,NULL
:3343308212,"The Complete Works of Edgar Allen Poe: Tales","Edgar Allan Poe",,http://books.google.com/books/content?id=KZAZAAAAYAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
:361050,"The Works of the Late Edgar Allan Poe","Edgar Allan Poe",,http://books.google.com/books/content?id=4kB6ozDR6tEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
:X000177,"The Works of Edgar Allan Poe","Edgar Allan Poe","American literature",http://books.google.com/books/content?id=qNNEAAAAYAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
:X000178,Tales,"Edgar Allan Poe",,http://books.google.com/books/content?id=mr9EAAAAYAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
$B266443,"My Battles with Vice","Virginia Brooks",Prostitution,http://books.google.com/books/content?id=bn9JAAAAIAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
$B275251,"An Introduction to the Study of American Literature","Brander Matthews","American literature",http://books.google.com/books/content?id=lzVIAAAAIAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
$B382055,"Adventuring in adoption","Lee Marshall Brooks","Family & Relationships",http://books.google.com/books/content?id=JHpBAQAAIAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
$B671508,"Ballads of Books","Brander Matthews","Book verse",http://books.google.com/books/content?id=f6w1AQAAIAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
000033241852,"Boxiana, Or, Sketches of Ancient and Modern Pugilism","Pierce Egan",Boxing,http://books.google.com/books/content?id=IyHwAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0007586469,"Endgame 03","James Frey","Adventure and adventurers",http://books.google.com/books/content?id=j85djwEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0023278536,"Psychology TB","Wayne R. Davis",Psychology,http://books.google.com/books/content?id=SrVoK2wVXgAC&printsec=frontcover&img=1&zoom=5&source=gbs_api
0030863708,"Foundations of Analysis in the Complex Plane","Thomas McCullough","Functions of complex variables",http://books.google.com/books/content?id=QuQPevei4I8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0060174072,Mitz,"Sigrid Nunez",Fiction,http://books.google.com/books/content?id=lP-wQgAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0060184280,"Carolyne Roehm's Seasonal Notebooks","Carolyne Roehm","Crafts & Hobbies",http://books.google.com/books/content?id=Y9rYGwAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0060193875,"Carolyne Roehm's Summer Notebook","Carolyne Roehm","House & Home",http://books.google.com/books/content?id=Se3k_y_DITkC&printsec=frontcover&img=1&zoom=5&source=gbs_api
0060194529,"Carolyne Roehm's Winter Notebook","Carolyne Roehm",Gardening,http://books.google.com/books/content?id=PI_dHAAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0060194537,"Carolyne Roehm's Spring Notebook","Carolyne Roehm",Cooking,http://books.google.com/books/content?id=lNP-GL0gmagC&printsec=frontcover&img=1&zoom=5&source=gbs_api
0060538023,"What to Expect When Mommy's Having a Baby","Heidi Murkoff","Juvenile Nonfiction",http://books.google.com/books/content?id=Wc4wJ-W6o6IC&printsec=frontcover&img=1&zoom=5&source=gbs_api
0060745908,"Wicked Musical Tie-in Edition","Gregory Maguire",Fiction,http://books.google.com/books/content?id=--62ugEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0060837551,"The Thorn Birds","Colleen McCullough",Fiction,http://books.google.com/books/content?id=3coulwEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0060928611,"Naked Sleeper","Sigrid Nunez",Fiction,http://books.google.com/books/content?id=26PyW2z8WtUC&printsec=frontcover&img=1&zoom=5&source=gbs_api
0061748668,Lost,"Gregory Maguire",Fiction,http://books.google.com/books/content?id=9yTGZ6rHRqMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
006175272X,"State of Fear","Michael Crichton",Fiction,http://books.google.com/books/content?id=8nzoQlVhH4cC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0061762598,"Confessions Of An Ugly Stepsister","Gregory Maguire",Fiction,http://books.google.com/books/content?id=kv8mVJWiXDkC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0061785652,"The Devil Colony","James Rollins",Fiction,http://books.google.com/books/content?id=q34GfAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0061842532,"Orange Crush","Tim Dorsey",Fiction,http://books.google.com/books/content?id=bOMQmCuQHegC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0061870331,"A Ticket to Ride","Paula McLain",Fiction,http://books.google.com/books/content?id=pyBuvKI9XaYC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0061984639,"Nuclear Jellyfish","Tim Dorsey",Fiction,http://books.google.com/books/content?id=H43VIU9ySEcC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0061991058,"The Blood Gospel","James Rollins",Fiction,http://books.google.com/books/content?id=DSM2kwEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0062122827,"Drone Strike: A Dreamland Thriller","Dale Brown",Fiction,http://books.google.com/books/content?id=pB4pnwEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0062253832,"The Fallen Angel","Daniel Silva",Fiction,http://books.google.com/books/content?id=qxByMQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0062311166,"Mississippi Blood","Greg Iles",Fiction,http://books.google.com/books/content?id=pw9mswEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0062320165,"The English Spy","Daniel Silva",Fiction,http://books.google.com/books/content?id=tsQ-jgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0062381733,"The Demon Crown","James Rollins",Fiction,http://books.google.com/books/content?id=4NJwAQAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0062411306,"Puppet Master","Dale Brown",Fiction,http://books.google.com/books/content?id=MHLJjgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0062457985,"Elementals: Ice Wolves","Amie Kaufman","Juvenile Fiction",http://books.google.com/books/content?id=dsBjtAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
006246616X,"My Dear Hamilton","Stephanie Dray",Fiction,http://books.google.com/books/content?id=rRTNtwEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0062683039,"Ten Things We Did (and Probably Shouldn't Have)","Sarah Mlynowski","Young Adult Fiction",http://books.google.com/books/content?id=KkUYMQAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0062693441,"The Daisy Children","Sofia Grant",Fiction,http://books.google.com/books/content?id=LzvTtAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0062795880,"No Sunscreen for the Dead","Tim Dorsey",Fiction,http://books.google.com/books/content?id=JABGtgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0062843370,"The Plant Paradox Cookbook","Dr. Steven R. Gundry, M.D.",Cooking,http://books.google.com/books/content?id=SJLiswEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0062866443,"Monty Python Speaks, Revised and Updated Edition","David Morgan","Performing Arts",http://books.google.com/books/content?id=S3ILtgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0062875655,"No Exit","Taylor Adams",Fiction,http://books.google.com/books/content?id=PsNitgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0062916076,"Ribbons of Scarlet","Kate Quinn",Fiction,http://books.google.com/books/content?id=itPXwAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0067575137,"A Passion for Flowers","Carolyne Roehm",Gardening,http://books.google.com/books/content?id=D3yBHAAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0071241191,"The Asian Skin","Ng See Ket",Medical,http://books.google.com/books/content?id=DupsAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0071444270,"Teach Yourself Massage","Denise Whichello Brown",Self-Help,http://books.google.com/books/content?id=FITZEoDDBmUC&printsec=frontcover&img=1&zoom=5&source=gbs_api
